Student_ID,Days_Present,Total_Days
S0595,154,190
S0596,164,191
S0597,145,193
S0598,161,187
S0599,170,183
S0600,164,183
S0601,146,199
S0602,154,190
S0603,177,188
S0604,165,186
S0605,164,195
S0606,152,199
S0607,176,196
S0608,140,191
S0609,170,189
S0610,185,198
S0611,187,197
S0612,156,188
S0613,126,200
S0614,164,197
S0615,197,197
S0616,127,181
S0617,149,182
S0618,176,186
S0619,154,195
S0620,181,181
S0621,141,181
S0622,136,180
S0623,162,184
S0624,145,199
S0625,165,195
S0626,166,195
S0627,169,186
S0628,166,193
S0629,164,196
S0630,154,191
S0631,184,197
S0632,191,191
S0633,165,186
S0634,167,193
S0635,143,199
S0636,158,197
S0637,160,190
S0638,143,192
S0639,150,200
S0640,195,195
S0641,179,190
S0642,137,185
S0643,138,199
S0644,194,200
S0645,146,181
S0646,118,180
S0647,171,182
S0648,163,188
S0649,107,183
S0650,151,198
S0651,165,199
S0652,166,183
S0653,161,197
S0654,139,182
S0655,178,196
S0656,145,187
S0657,157,180
S0658,138,188
S0659,141,197
S0660,183,199
S0661,158,182
S0662,178,197
S0663,139,186
S0664,144,189
S0665,171,182
S0666,141,200
S0667,196,196
S0668,177,193
S0669,178,195
S0670,160,198
S0671,139,183
S0672,166,185
S0673,126,180
S0674,144,190
S0675,161,190
S0676,156,180
S0677,144,193
S0678,165,180
S0679,172,196
S0680,194,194
S0681,171,197
S0682,164,182
S0683,193,198
S0684,176,191
S0685,136,198
S0686,153,194
S0687,151,193
S0688,151,180
S0689,164,194
S0690,167,189
S0691,168,197
S0692,163,194
S0693,132,181
S0694,173,198
S0695,156,181
S0696,142,186
S0697,151,184
S0698,129,200
S0699,156,183
S0700,153,197
S0701,139,184
S0702,178,193
S0703,141,181
S0704,171,188
S0705,193,193
S0706,187,194
S0707,185,198
S0708,130,197
S0709,129,190
S0710,142,186
S0711,135,185
S0712,144,200
S0713,151,192
S0714,153,199
S0715,166,189
S0716,137,190
S0717,155,197
S0718,162,195
S0719,153,184
S0720,184,191
S0721,171,184
S0722,136,195
S0723,141,180
S0724,164,197
S0725,148,199
S0726,130,180
S0727,187,193
S0728,129,181
S0729,180,187
S0730,161,187
S0731,172,190
S0732,186,199
S0733,157,189
S0734,146,188
S0735,167,181
S0736,138,198
S0737,155,186
S0738,135,189
S0739,132,181
S0740,148,186
S0741,159,191
S0742,133,198
S0743,162,186
S0744,149,191
S0745,193,198
S0746,146,187
S0747,132,186
S0748,153,180
S0749,153,199
S0750,166,182
S0751,157,184
S0752,155,182
S0753,180,194
S0754,151,187
S0755,132,194
S0756,165,192
S0757,132,180
S0758,135,186
S0759,156,180
S0760,147,181
S0761,136,189
S0762,137,185
S0763,136,181
S0764,177,188
S0765,162,189
S0766,160,200
S0767,170,193
S0768,138,188
S0769,162,189
S0770,153,181
S0771,166,188
S0772,148,192
S0773,143,180
S0774,178,199
S0775,147,190
S0776,148,196
S0777,146,185
S0778,166,197
S0779,154,187
S0780,165,199
S0781,147,190
S0782,137,193
S0783,148,184
S0784,197,200
S0785,158,184
S0786,138,180
S0787,147,189
S0788,138,197
S0789,186,199
S0790,175,197
S0791,139,191
S0792,161,199
S0793,153,190
S0794,160,190
S0795,155,183
S0796,155,196
S0797,165,186
S0798,142,184
S0799,165,187
S0800,167,192
S0801,110,185
S0802,152,187
S0803,154,186
S0804,159,192
S0805,164,194
S0806,170,194
S0807,175,182
S0808,134,187
S0809,139,193
S0810,159,184
S0811,160,181
S0812,152,186
S0813,194,194
S0814,176,193
S0815,168,182
S0816,131,194
S0817,127,184
S0818,170,195
S0819,165,191
S0820,142,182
S0821,170,187
S0822,159,197
S0823,158,189
S0824,159,194
S0825,176,195
S0826,164,180
S0827,153,199
S0828,183,187
S0829,158,196
S0830,151,189
S0831,159,192
S0832,187,187
S0833,165,197
S0834,150,182
S0835,183,198
S0836,145,184
S0837,182,198
S0838,139,180
S0839,137,180
S0840,140,181
S0841,172,191
S0842,136,185
S0843,146,192
S0844,164,197
S0845,130,180
S0846,162,191
S0847,152,195
S0848,165,188
S0849,166,199
S0850,161,193
S0851,135,180
S0852,162,191
S0853,180,188
S0854,138,182
S0855,158,199
S0856,161,184
S0857,154,181
S0858,117,184
S0859,197,197
S0860,165,192
S0861,177,197
S0862,163,189
S0863,130,182
S0864,166,188
S0865,125,184
S0866,170,191
S0867,133,185
S0868,181,200
S0869,143,187
S0870,174,186
S0871,137,200
S0872,181,190
S0873,183,183
S0874,183,190
S0875,169,185
S0876,160,195
S0877,192,192
S0878,166,195
S0879,146,199
S0880,192,195
S0881,183,187
S0882,150,184
S0883,122,191
S0884,145,189
S0885,131,186
S0886,171,197
S0887,136,199
S0888,154,188
S0889,158,194
S0890,147,200
S0891,157,180
S0892,153,187
S0893,174,195
S0894,138,190
S0895,140,196
S0896,103,189
S0897,117,181
S0898,187,189
S0899,188,188
S0900,176,197
S0901,150,183
S0902,139,183
S0903,161,182
S0904,153,191
S0905,189,200
S0906,169,192
S0907,162,197
S0908,151,197
S0909,156,192
S0910,148,192
S0911,151,185
S0912,155,200
S0913,163,196
S0914,198,198
S0915,159,200
S0916,151,187
S0917,127,183
S0918,150,198
S0919,157,189
S0920,197,200
S0921,125,194
S0922,157,185
S0923,166,187
S0924,142,192
S0925,157,188
S0926,153,185
S0927,143,184
S0928,190,193
S0929,163,180
S0930,169,181
S0931,129,180
S0932,154,195
S0933,133,180
S0934,139,188
S0935,151,182
S0936,143,192
S0937,135,180
S0938,155,180
S0939,132,188
S0940,177,194
S0941,139,182
S0942,183,190
S0943,158,197
S0944,164,193
S0945,157,195
S0946,153,186
S0947,168,199
S0948,122,183
S0949,157,192
S0950,150,189
S0951,154,180
S0952,188,199
S0953,134,194
S0954,127,184
S0955,167,181
S0956,165,194
S0957,167,191
S0958,142,181
S0959,187,200
S0960,150,195
S0961,146,189
S0962,145,185
S0963,168,185
S0964,172,189
S0965,149,181
S0966,171,187
S0967,168,184
S0968,148,182
S0969,177,182
S0970,187,187
S0971,145,188
S0972,165,187
S0973,140,194
S0974,155,190
S0975,155,184
S0976,172,200
S0977,166,195
S0978,140,189
S0979,171,181
S0980,162,199
S0981,145,195
S0982,182,189
S0983,166,183
S0984,159,182
S0985,171,186
S0986,183,184
S0987,171,184
S0988,163,188
S0989,134,180
S0990,186,186
S0991,177,198
S0992,151,198
S0993,137,180
S0994,162,194
S0995,157,200
S0996,164,192
S0997,174,188
S0998,143,190
S0999,121,184
S1000,147,188
